t;ax;ay;az;distF;distB;distL;distR;alpha;powerL;powerR;
7044;0.0784532;0;10.2381;56.3034;14.6655;60.6983;36.4569;195.696;-50;-50;
7062;0.11768;-0.509946;10.1597;57.4414;14.7;53.6638;35.3707;193.453;-50;-50;
7081;0.706079;-0.392266;10.042;57.3034;14.6828;49.1121;37.5948;191.211;-50;-50;
7101;1.09834;0.0392266;9.76742;57.1828;40.9931;60.8707;37.9569;191.659;-50;-50;
7122;0.902212;0.627626;10.2381;58.3034;40.6828;53.1638;37.4741;194.431;-50;-50;
7142;0.23536;0.313813;10.4343;58.1828;40.3034;59.5776;37.8707;194.898;-50;-50;
7163;0.274586;-0.11768;9.92433;58.1655;39.9414;60.8879;37.8017;195.228;-50;-50;
7183;-0.0392266;0.23536;9.53206;58.9069;39.6483;55.0776;37.3362;195.768;-50;-50;
7203;0.353039;0.196133;10.6304;58.8724;39.2172;55.4052;37.6983;196.732;-50;-50;
7223;0.0784532;0.627626;9.76742;59.2345;38.5103;52.6121;37.2672;195.485;-50;-50;
7244;1.56906;0.313813;10.2381;59.4069;38.5103;56.1293;37.25;196.579;-50;-50;
7264;1.01989;-0.666852;10.3558;60.0103;38.0965;56.0948;36.8017;197.488;-50;-50;
7283;0.11768;-0.902212;9.76742;60.8207;14.2862;57.5603;29.3362;196.192;-50;-50;
7302;0.902212;-0.862985;10.1597;61.1483;37.8034;48.181;37.9569;196.886;-50;-50;
7323;1.09834;0.470719;10.2381;61.5793;36.9586;51.5086;37.8534;198.407;-50;-50;
7342;0.941438;0.156906;10.8265;61.4931;14.7172;59.9052;37.3534;197.035;-50;-50;
7362;0.549172;-0.23536;10.3558;61.8897;36.2517;49.0948;36.4741;198.153;-50;-50;
7381;0.902212;-0.431493;9.68897;62.3207;14.7172;56.6121;38.0948;199.628;-50;-50;
7401;0.902212;0.156906;9.53206;63.0793;35.4586;52.7845;36.7328;200.089;-50;-50;
7421;0.980665;1.01989;9.80665;63.0621;35.0621;55.5086;36.7155;200.263;-50;-50;
7440;0.23536;0.980665;9.10057;63.4586;14.6828;59.3017;30.9397;202.199;-50;-50;
7461;1.21602;-0.23536;9.57129;63.8724;34.269;59.8879;37.4569;201.746;-50;-50;
7481;1.05912;-1.29448;10.1205;64.631;33.8034;62.681;36.9914;202.898;-50;-50;
7502;0.627626;-1.01989;9.64974;64.6828;33.4586;55.75;37.2672;201.992;-50;-50;
7522;0.902212;1.25525;9.96356;67.0965;33.0103;53.2155;37.6638;200.946;-50;-50;
7542;0.902212;0.549172;10.3166;65.4414;32.6483;57.1293;37.181;202.131;-50;-50;
7563;1.09834;-0.313813;9.80665;65.8379;32.2172;62.5431;37.1293;201.445;-50;-50;
7584;0.902212;-0.431493;9.76742;66.6655;31.8034;63.0259;36.6983;201.494;-50;-50;
7605;0.156906;0.156906;10.3166;66.269;31.8379;62.6638;38.9914;202.267;-50;-50;
7624;0.431493;0.862985;10.3558;67.131;14.7;56.0259;35.1983;201.591;-50;-50;
7643;-0.196133;0.431493;9.61052;67.4414;14.6828;62.7845;27.4741;203.258;-50;-50;
7664;1.88288;-0.470719;10.1597;67.8379;30.2345;62.8362;36.4224;202.131;-50;-50;
7685;0.823759;-1.37293;8.86521;68.6483;29.8379;63.2672;36.0086;202.707;-50;-50;
7705;1.3337;0.862985;10.7481;68.6828;29.0103;62.8879;36.319;202.833;-50;-50;
7726;1.01989;1.60829;11.6111;69.0621;28.9931;63.4569;35.8879;206.096;0;0;
7746;0.549172;-0.784532;7.45305;69.9241;14.7;63.4397;35.4052;204.491;0;0;
7765;4.19725;-0.666852;9.84588;69.8379;13.8379;55.1293;36.181;204.79;0;0;
7785;4.43261;-0.745305;9.76742;70.5103;28.4414;52.819;23.75;204.47;0;0;
7805;0.196133;0.823759;16.0045;70.2517;27.4586;53.5776;30.319;205.658;0;0;
7825;1.88288;0.745305;8.70831;70.3897;27.8207;63.0776;36.5776;205.222;0;0;
7846;2.86354;-0.274586;9.92433;70.4241;27.769;63.1121;36.1466;205.016;0;0;
7865;1.88288;-0.666852;9.53206;70.9069;14.6828;54.7672;32.9914;205.725;0;0;
7884;0.666852;0.274586;9.96356;70.5103;13.8724;63.1466;27.0948;204.593;0;0;
7905;0.549172;0.431493;9.7282;70.4759;27.7517;63.4914;36.1466;205.691;0;0;
7924;0.313813;0;9.80665;70.4759;15.131;63.0948;24.6121;204.806;0;0;
7945;0.549172;-0.274586;9.8851;70.4414;27.769;63.0948;36.1638;204.606;0;0;
7964;0.784532;0.0392266;9.96356;70.0276;27.8207;51.7328;25.0948;204.79;0;0;
7985;0.392266;0.0784532;9.92433;70.4241;27.8207;63.4741;36.1983;204.581;0;0;
8004;0.23536;0;9.84588;70.8379;27.7862;63.5259;14.5603;204.491;0;0;
8025;0.549172;0.0392266;9.8851;70.4414;27.8034;63.0776;36.2328;204.693;0;0;
8046;0.706079;0.0392266;9.96356;70.8552;27.8034;63.5259;36.2155;203.496;0;0;
8065;0.588399;0.0784532;9.84588;70.8379;27.7862;63.5086;14.9741;204.154;0;0;
8084;0.588399;0.156906;9.92433;70.4759;27.8207;63.4569;14.9569;204.921;0;0;
8104;0.509946;0.0784532;9.92433;70.4586;27.8034;63.5086;13.3017;204.046;0;0;
8124;0.549172;-0.0392266;10.0028;70.8552;27.8207;63.5259;35.7845;204.593;0;0;
8144;0.549172;-0.0392266;9.8851;70.8897;27.769;63.0948;13.2845;204.265;0;0;
8163;0.745305;0.11768;9.96356;70.4931;27.8034;63.4914;12.8707;205.058;0;0;
8182;0.549172;0.0392266;9.84588;70.4759;14.3034;63.0776;23.75;204.593;0;0;
8203;0.470719;0;9.92433;70.1138;27.4069;63.5086;35.7845;205.272;0;0;
8222;0.588399;0;9.96356;70.0621;27.4241;52.5086;24.1638;203.825;0;0;
8241;0.588399;0.0784532;9.92433;70.4586;27.7862;62.6293;14.1466;204.593;0;0;
8260;0.549172;0.0392266;9.8851;70.4414;14.269;51.7155;34.9052;204.158;0;0;
8280;0.627626;0;9.92433;70.4241;27.8034;51.75;24.5776;202.603;0;0;
